"Interval start,""All Packets"",""TCP Errors"""
"0,21,0"
"0.1,16,0"
"0.2,43,0"
"0.3,42,0"
"0.4,25,0"
"0.5,32,0"
"0.6,28,0"
"0.7,28,0"
"0.8,30,0"
"0.9,28,0"
"1,28,0"
"1.1,21,0"
"1.2,32,0"
"1.3,26,0"
"1.4,29,0"
"1.5,24,0"
"1.6,20,0"
"1.7,16,0"
"1.8,25,0"
"1.9,27,0"
"2,25,0"
"2.1,55,0"
"2.2,864,0"
"2.3,793,0"
"2.4,655,0"
"2.5,198,0"
"2.6,55,0"
"2.7,54,0"
"2.8,53,0"
"2.9,51,0"
"3,44,0"
"3.1,29,0"
"3.2,51,0"
"3.3,46,0"
"3.4,47,0"
"3.5,39,0"
"3.6,42,0"
"3.7,34,0"
"3.8,300,0"
"3.9,21,0"
"4,167,0"
"4.1,56,0"
"4.2,54,0"
"4.3,167,0"
"4.4,34,0"
"4.5,56,0"
"4.6,54,0"
"4.7,55,0"
"4.8,24,0"
"4.9,44,0"
"5,36,0"
"5.1,19,0"
"5.2,39,0"
"5.3,19,0"
"5.4,15,0"
"5.5,15,0"
"5.6,12,0"
"5.7,17,0"
"5.8,15,0"
"5.9,14,0"
"6,13,0"
"6.1,14,0"
"6.2,18,0"
"6.3,12,0"
"6.4,10,0"
"6.5,15,0"
"6.6,12,0"
"6.7,14,0"
"6.8,15,0"
"6.9,18,0"
"7,19,0"
"7.1,24,0"
"7.2,19,0"
"7.3,27,0"
"7.4,19,0"
"7.5,24,0"
"7.6,20,0"
"7.7,22,0"
"7.8,15,0"
"7.9,22,0"
"8,18,0"
"8.1,21,0"
"8.2,19,0"
"8.3,19,0"
"8.4,20,0"
"8.5,30,0"
"8.6,57,0"
"8.7,60,0"
"8.8,56,0"
"8.9,29,0"
"9,21,0"
"9.1,33,0"
"9.2,55,0"
"9.3,59,0"
"9.4,44,0"
"9.5,38,0"
"9.6,24,0"
"9.7,29,0"
"9.8,19,0"
"9.9,14,0"
"10,14,0"
"10.1,14,0"
"10.2,57,0"
"10.3,44,0"
"10.4,52,0"
"10.5,52,0"
"10.6,49,0"
"10.7,43,0"
"10.8,49,0"
"10.9,46,0"
"11,41,0"
"11.1,31,0"
"11.2,66,0"
"11.3,50,0"
"11.4,54,0"
"11.5,32,0"
"11.6,45,0"
"11.7,68,0"
"11.8,54,0"
"11.9,40,0"
"12,40,0"
"12.1,18,0"
"12.2,15,0"
"12.3,22,0"
"12.4,52,0"
"12.5,57,0"
"12.6,55,0"
"12.7,34,0"
"12.8,41,0"
"12.9,25,0"
"13,20,0"
"13.1,33,0"
"13.2,43,0"
"13.3,50,0"
"13.4,38,0"
"13.5,22,0"
"13.6,23,0"
"13.7,16,0"
"13.8,13,0"
"13.9,13,0"
"14,15,0"
"14.1,16,0"
"14.2,13,0"
"14.3,16,0"
"14.4,12,0"
"14.5,16,0"
"14.6,50,0"
"14.7,53,0"
"14.8,55,0"
"14.9,54,0"
"15,37,0"
"15.1,44,0"
"15.2,36,0"
"15.3,18,0"
"15.4,12,0"
"15.5,13,0"
"15.6,18,0"
"15.7,28,0"
"15.8,21,0"
"15.9,18,0"
"16,20,0"
"16.1,13,0"
"16.2,18,0"
"16.3,14,0"
"16.4,29,0"
"16.5,55,0"
"16.6,53,0"
"16.7,59,0"
"16.8,24,0"
"16.9,46,0"
"17,20,0"
"17.1,17,0"
"17.2,16,0"
"17.3,20,0"
"17.4,12,0"
"17.5,15,0"
"17.6,16,0"
"17.7,16,0"
"17.8,13,0"
"17.9,12,0"
"18,18,0"
"18.1,14,0"
"18.2,13,0"
"18.3,18,0"
"18.4,12,0"
"18.5,14,0"
"18.6,13,0"
"18.7,14,0"
"18.8,13,0"
"18.9,14,0"
"19,17,0"
"19.1,17,0"
"19.2,14,0"
"19.3,13,0"
"19.4,12,0"
"19.5,15,0"
"19.6,15,0"
"19.7,11,0"
"19.8,14,0"
"19.9,13,0"
"20,15,0"
"20.1,18,0"
"20.2,31,0"
"20.3,14,0"
"20.4,13,0"
"20.5,14,0"
"20.6,18,0"
"20.7,14,0"
"20.8,14,0"
"20.9,14,0"
"21,18,0"
"21.1,17,0"
"21.2,21,0"
"21.3,16,0"
"21.4,15,0"
"21.5,12,0"
"21.6,13,0"
"21.7,12,0"
"21.8,13,0"
"21.9,12,0"
"22,15,0"
"22.1,13,0"
"22.2,106,0"
"22.3,14,0"
"22.4,12,0"
"22.5,12,0"
"22.6,13,0"
"22.7,14,0"
"22.8,13,0"
"22.9,12,0"
"23,17,0"
"23.1,19,0"
"23.2,16,0"
"23.3,17,0"
"23.4,14,0"
"23.5,17,0"
"23.6,17,0"
"23.7,14,0"
"23.8,16,0"
"23.9,17,0"
"24,21,0"
"24.1,61,0"
"24.2,728,0"
"24.3,785,0"
"24.4,662,0"
"24.5,685,0"
"24.6,639,0"
"24.7,224,0"
"24.8,9,0"
"24.9,29,0"
"25,15,0"
"25.1,13,0"
"25.2,29,0"
"25.3,17,0"
"25.4,12,0"
"25.5,16,0"
"25.6,15,0"
"25.7,15,0"
"25.8,13,0"
"25.9,11,0"
"26,15,0"
"26.1,12,0"
"26.2,13,0"
"26.3,16,0"
"26.4,12,0"
"26.5,13,0"
